No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,Break1.thisRepN,Break1.thisTrialN,Break1.thisN,Break1.thisIndex,Image,Qustion,Response,CorrAns,Path,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,fix.started,main_image_2.stopped,main_early.started,ct_resp.started,main_late.started,fix.stopped,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,main_early.stopped,ct_resp.stopped,main_late.stopped,break_4.started,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05844670801889151,0.07505912496708333,2.004986457992345,2.0050046669784933,2.0130684999749064,2.0130684999749064,9.279995999997482,space,7.237234249943867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.280042917001992,9.286814082995988,9.286814082995988,19.047889166977257,space,9.750728500075638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,22.103494083043188,,,,,,,,,,,,,,,,,,,19.050876667024568,19.10960225004237,19.10960225004237,22.003575333044864,space,2.888965249992907,None,22.048128874972463,22.103494083043188,23.01405550003983,23.014110082993284,23.0356024580542,23.0356024580542,23.0356024580542,26.38771091704257,26.38772624998819,26.50352395803202,27.397737958002836,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,27.43364062497858,,,,,,,,,,,,,,,,,,,,,,,,,,27.398254874977283,27.43364062497858,28.396292124991305,28.396309999981895,28.41218020801898,28.41218020801898,28.41218020801898,29.76457500003744,29.764590042061172,29.774183416971937,30.7647504999768,30.805950167006813,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,30.805950167006813,,,,,,,,,,,,,,,,,,,,,,,,,,30.765189500059932,30.805950167006813,31.77084020804614,31.770865833037533,31.78772612498142,31.78772612498142,31.78772612498142,33.105656458064914,33.10567729198374,33.11375066707842,34.09774983301759,34.132256541983224,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,34.132256541983224,,,,,,,,,,,,,,,,,,,,,,,,,,34.0981104579987,34.132256541983224,35.11411058297381,35.114134708070196,35.12655933306087,35.12655933306087,35.12655933306087,36.23139054200146,36.23140841699205,36.238905249978416,37.231005124980584,37.267210167017765,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,37.267210167017765,,,,,,,,,,,,,,,,,,,,,,,,,,37.23130462504923,37.267210167017765,38.23695554200094,38.23698229203001,38.25328145804815,38.25328145804815,38.25328145804815,39.55450408300385,39.55452250002418,39.562520042061806,40.54837083304301,40.587763208081014,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,40.587763208081014,,,,,,,,,,,,,,,,,,,,,,,,,,40.54878529207781,40.587763208081014,41.56360262504313,41.56362300005276,41.58361025003251,41.58361025003251,41.58361025003251,42.981124208075926,42.981142958044074,43.0018735419726,43.98575950006489,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,6,6,5,,,,,,,,,,,,,,44.021097250049934,,,,,,,,,,,,,,,,,,,,,,,,,,43.98617012507748,44.021097250049934,44.98599191696849,44.986020541982725,45.000611250055954,45.000611250055954,45.000611250055954,46.931721042026766,46.93173995800316,46.945398417068645,47.931429582997225,47.970375666976906,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,47.970375666976906,,,,,,,,,,,,,,,,,,,,,,,,,,47.93189300002996,47.970375666976906,48.93668412498664,48.936703792074695,48.950590583030134,48.950590583030134,48.950590583030134,50.02057983307168,50.02059662505053,50.03559329197742,51.02073237497825,51.02916541707236,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02099420805462,51.021388499997556,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02144945797045,51.02916541707236,51.02916541707236,53.18135408300441,space,2.1438599169487134,None,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,0,0,0,0,,,,,,,,,,53.2560431669699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.21672216698062,53.2560431669699,54.1800079169916,54.2516474169679,54.670438167057,54.670438167057,54.670438167057,54.670438167057,55.98805662500672,up,0,1.3164359170477837,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,0,1,1,1,,,,,,,,,,56.02722658298444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.98892350005917,56.02722658298444,56.988634500070475,57.030331457965076,57.48811591707636,57.48811591707636,57.48811591707636,57.48811591707636,57.537082500057295,up,0,0.04381491697859019,None,,,,,333,001,,,2023-11-06_13h06.55.719,ETchi,2023.2.3,None,2023-11-06 13h07.06.877533 -0500,
