No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,Break1.thisRepN,Break1.thisTrialN,Break1.thisN,Break1.thisIndex,Image,Qustion,Response,CorrAns,Path,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,fix.started,main_image_2.stopped,main_early.started,ct_resp.started,main_late.started,fix.stopped,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,main_early.stopped,ct_resp.stopped,main_late.stopped,break_4.started,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06298333301674575,0.09483545797411352,2.0005674170097336,2.0006073750555515,2.01064866699744,2.01064866699744,2.4264479579869658,space,0.37989700003527105,0.03443429199978709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,,,2023-11-06_13h14.30.367,ETchi,2023.2.3,None,2023-11-06 13h14.42.046839 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.426497583044693,2.4333440420450643,2.4333440420450643,2.5349063330795616,space,0.08655500004533678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,,,2023-11-06_13h14.30.367,ETchi,2023.2.3,None,2023-11-06 13h14.42.046839 -0500,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,2.7578881250228733,,,,,,,,,,,,,,,,,,,2.536870792042464,2.5850553329801187,2.5850553329801187,2.677309208083898,space,0.0821762919658795,None,2.714816708001308,2.7578881250228733,3.6815143330022693,3.681540417019278,3.7017810830147937,3.7017810830147937,3.7017810830147937,6.1446397920371965,6.144660750054754,6.247102958033793,7.149501833016984,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,,,2023-11-06_13h14.30.367,ETchi,2023.2.3,None,2023-11-06 13h14.42.046839 -0500,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,7.189254917087965,,,,,,,,,,,,,,,,,,,,,,,,,,7.149912083055824,7.189254917087965,8.151172375073656,8.151193083031103,8.16460045799613,8.16460045799613,8.16460045799613,9.983490542043,9.98350783297792,9.9941326250555,10.977435457985848,11.011004125000909,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,,,2023-11-06_13h14.30.367,ETchi,2023.2.3,None,2023-11-06 13h14.42.046839 -0500,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,11.011004125000909,,,,,,,,,,,,,,,,,,,,,,,,,,10.97789029206615,11.011004125000909,11.99339925008826,11.993419958045706,12.007992082973942,12.007992082973942,12.007992082973942,12.86153724999167,12.861557292053476,12.869264792068861,13.86188454204239,13.898004207992926,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,,,2023-11-06_13h14.30.367,ETchi,2023.2.3,None,2023-11-06 13h14.42.046839 -0500,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,13.898004207992926,,,,,,,,,,,,,,,,,,,,,,,,,,13.86230629205238,13.898004207992926,14.86519095802214,14.865209583076648,14.876219375059009,14.876219375059009,14.876219375059009,15.700814416981302,15.700838417047635,15.709472208051011,16.69438695802819,16.73329433298204,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,,,2023-11-06_13h14.30.367,ETchi,2023.2.3,None,2023-11-06 13h14.42.046839 -0500,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,16.73329433298204,,,,,,,,,,,,,,,,,,,,,,,,,,16.694896750035696,16.73329433298204,17.710546000045724,17.71059154206887,17.729662333033048,17.729662333033048,17.729662333033048,18.644566292059608,18.64459329203237,18.653230625088327,19.64444895798806,19.681211417075247,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,,,2023-11-06_13h14.30.367,ETchi,2023.2.3,None,2023-11-06 13h14.42.046839 -0500,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,19.681211417075247,,,,,,,,,,,,,,,,,,,,,,,,,,19.644904167042114,19.681211417075247,20.65134087507613,20.651371708023362,20.669205542071722,20.669205542071722,20.669205542071722,21.49444174999371,21.494460792047903,21.50168129208032,22.494270167080685,22.530857417033985,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,,,2023-11-06_13h14.30.367,ETchi,2023.2.3,None,2023-11-06 13h14.42.046839 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,22.530857417033985,,,,,,,,,,,,,,,,,,,,,,,,,,22.49462387501262,22.530857417033985,23.500460167066194,23.500487958081067,23.51532233308535,23.51532233308535,23.51532233308535,24.200889999978244,24.200909374980256,24.20946045801975,25.194926625001244,25.233567083021626,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,,,2023-11-06_13h14.30.367,ETchi,2023.2.3,None,2023-11-06 13h14.42.046839 -0500,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,25.233567083021626,,,,,,,,,,,,,,,,,,,,,,,,,,25.19534287508577,25.233567083021626,26.20152170804795,26.201554167084396,26.217442583059892,26.217442583059892,26.217442583059892,28.10014970798511,28.10016491706483,28.118463666993193,29.100735625019297,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,001,,,2023-11-06_13h14.30.367,ETchi,2023.2.3,None,2023-11-06 13h14.42.046839 -0500,
