No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,Break1.thisRepN,Break1.thisTrialN,Break1.thisN,Break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,fix.started,main_image_2.stopped,main_early.started,ct_resp.started,main_late.started,fix.stopped,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,break_5.started,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,break_5.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019701899960637093,0.03177130036056042,2.0140049001201987,2.0140453996136785,2.030605800449848,2.030605800449848,12.11081810016185,space,10.077257399447262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h45.21.589,ETchi,2023.2.3,60.01482376037019,2023-11-06 13h45.35.663312 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.110841100104153,12.127336599864066,12.127336599864066,14.54391140025109,space,2.412209700793028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h45.21.589,ETchi,2023.2.3,60.01482376037019,2023-11-06 13h45.35.663312 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,21.063830699771643,,,,,,,,,,,,,,,,,,,14.544499199837446,14.700389799661934,14.700389799661934,20.92483379971236,space,6.215399700216949,None,20.965636399574578,21.063830699771643,21.940953699871898,21.940966499969363,22.01155379973352,22.01155379973352,22.01155379973352,23.539737599901855,23.539752500131726,23.562388200312853,24.5557802002877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h45.21.589,ETchi,2023.2.3,60.01482376037019,2023-11-06 13h45.35.663312 -0500,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.55586939956993,24.55621670000255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h45.21.589,ETchi,2023.2.3,60.01482376037019,2023-11-06 13h45.35.663312 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.556248400360346,24.572297899983823,24.572297899983823,27.605463299900293,space,3.0298394998535514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,333,001,,,2023-11-06_13h45.21.589,ETchi,2023.2.3,60.01482376037019,2023-11-06 13h45.35.663312 -0500,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,27.68103319965303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6591993002221,27.68103319965303,28.605109999887645,28.687289900146425,29.120700200088322,29.120700200088322,29.120700200088322,29.120700200088322,31.553915100172162,down,1,2.418049900792539,None,,,,,,,,,,,,,,333,001,,,2023-11-06_13h45.21.589,ETchi,2023.2.3,60.01482376037019,2023-11-06 13h45.35.663312 -0500,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,31.594490200281143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.554490599781275,31.594490200281143,32.554080800153315,32.60277170035988,33.06923110038042,33.06923110038042,33.06923110038042,33.06923110038042,34.73609730042517,down,1,1.6622906997799873,None,,,,,,,,,,,,,,333,001,,,2023-11-06_13h45.21.589,ETchi,2023.2.3,60.01482376037019,2023-11-06 13h45.35.663312 -0500,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,congruent,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,34.75877850037068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.73657520022243,34.75877850037068,35.73621189966798,35.76830600015819,36.251495599746704,36.251495599746704,36.251495599746704,36.251495599746704,39.23456500004977,up,1,2.9671689001843333,None,,,,,,,,,,,,,,333,001,,,2023-11-06_13h45.21.589,ETchi,2023.2.3,60.01482376037019,2023-11-06 13h45.35.663312 -0500,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",3,congruent,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,39.30356079991907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2350933002308,39.30356079991907,40.234668999910355,40.31680350005627,40.75005909986794,40.75005909986794,40.75005909986794,40.75005909986794,42.43353009968996,right,1,1.6775115001946688,None,,,,,,,,,,,,,,333,001,,,2023-11-06_13h45.21.589,ETchi,2023.2.3,60.01482376037019,2023-11-06 13h45.35.663312 -0500,
20,Month,四月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",4,congruent,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,42.45846309978515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.43398469965905,42.45846309978515,43.43358710035682,43.46574189979583,43.949013699777424,43.949013699777424,43.949013699777424,43.949013699777424,44.649539600126445,up,1,0.6944046001881361,None,,,,,,,,,,,,,,333,001,,,2023-11-06_13h45.21.589,ETchi,2023.2.3,60.01482376037019,2023-11-06 13h45.35.663312 -0500,
